UNITID,Similar School 1,Similar School 2,Similar School 3,Similar School 4,Similar School 5,Similar School 6,Similar School 7,Similar School 8,Similar School 9,Similar School 10,Similar School 11,Similar School 12,Similar School 13,Similar School 14,Similar School 15,Similar School 16,Similar School 17,Similar School 18,Similar School 19,Similar School 20,Similar School 21,Similar School 22,Similar School 23,Similar School 24,Similar School 25,Similar School 26,Similar School 27,Similar School 28,Similar School 29,Similar School 30
100654,199157,232937,160621,100724,227526,199999,213598,133650,175856,130934,234155,140960,218733,163338,139719,110510,101912,132602,175342,110574,207209,159009,440916,221838,163453,157058,100830,201690,10236802,10236801
100663,230764,100706,234030,104151,134097,139940,209551,132903,228787,137351,227216,225511,102094,142115,166708,228723,221759,240444,178396,209542,204796,139959,126614,218663,155317,126818,174066,134130,182290,228778
100690,113704,230825,388520,439446,475273,198747,155636,420246,443049,444990,206154,133492,175980,236328,199272,455770,153144,120768,158477,210401,169080,141167,233374,440411,166124,128744,177038,140252,448734,445267
100706,100663,230764,226833,229179,138789,100830,219602,221759,178396,240444,126818,134097,228787,218663,234030,139959,104151,209551,134130,132903,170976,148654,137351,200332,225511,168430,232982,139940,227216,166708
100724,160621,199157,232937,140960,227526,100654,175856,199999,138716,159009,199102,163453,213598,133650,106412,198543,162007,175616,221838,162584,212160,130493,221740,211644,110510,213349,234155,175342,151306,217235
100751,150136,238032,204857,201441,200280,155399,240365,149222,105330,180489,176372,233921,217882,153658,232423,214777,231174,171100,234076,199120,153603,164076,214689,232186,176017,106397,237011,229115,157085,207388
100812,441900,218654,145336,451671,176026,214731,209506,214829,214652,225502,204671,199069,479956,230737,183257,142328,447689,151333,141981,180416,440828,237950,180522,139311,161217,225414,110778,377564,11508306,11508305
100830,138789,219602,171137,226833,148654,171146,10236801,10236802,10236803,10236808,228529,100706,142115,18017901,139366,228802,229179,207263,161554,167729,210146,160038,169798,232982,159717,100663,106458,227216,159993,221740
100858,230728,155317,180489,172699,133669,178411,155399,240268,126614,153658,106397,200280,240727,238032,198464,174066,150136,182290,231174,209542,151111,153603,204796,240453,100751,228723,160658,448886,217882,206604
100937,133492,175980,153144,236328,214175,130590,210401,166124,107080,168546,239017,206525,204501,191676,21997601,162654,173300,157818,164216,139144,228343,166018,222983,143084,204909,149781,165936,173647,237057,218070
